,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1,V Kohli,2011-2015,102,97,16,4433,183,54.72,4723,93.85,17,18,6,427,48
2,RG Sharma,2011-2015,72,70,8,2807,264,45.27,3282,85.52,5,18,5,261,73
3,SK Raina,2011-2015,98,86,14,2705,110*,37.56,2741,98.68,2,19,6,236,59
4,S Dhawan,2013-2015,59,58,3,2596,137,47.20,2836,91.53,8,13,1,308,32
5,MS Dhoni,2011-2015,79,65,24,2571,139*,62.70,2780,92.48,2,21,1,205,62
6,AM Rahane,2011-2015,58,57,2,1705,111,31.00,2228,76.52,2,10,6,171,19
7,RA Jadeja,2011-2015,86,61,22,1269,87,32.53,1441,88.06,0,6,2,105,28
8,G Gambhir,2011-2013,33,33,1,1165,102,36.40,1429,81.52,2,9,3,113,1
9,AT Rayudu,2013-2015,31,28,7,952,124*,45.33,1219,78.09,2,5,1,78,13
10,R Ashwin,2011-2015,88,52,16,586,65,16.27,683,85.79,0,1,5,53,4
11,V Sehwag,2011-2013,15,15,0,513,219,34.20,473,108.45,1,1,2,64,8
12,SR Tendulkar,2012-2012,10,10,0,315,114,31.50,387,81.39,1,1,0,35,2
13,KD Karthik,2013-2014,19,16,6,305,69,30.50,440,69.31,0,2,0,32,2
14,PA Patel,2011-2012,15,15,1,299,95,21.35,373,80.16,0,1,1,33,3
15,Yuvraj Singh,2012-2013,19,16,1,278,61,18.53,355,78.30,0,2,4,35,4
16,MK Tiwary,2011-2015,9,9,1,261,104*,32.62,348,75.00,1,1,0,23,2
17,STR Binny,2014-2015,13,10,3,228,77,32.57,241,94.60,0,1,1,23,5
18,B Kumar,2012-2015,50,25,7,189,31,10.50,231,81.81,0,0,5,18,2
19,IK Pathan,2011-2012,13,9,3,176,47,29.33,180,97.77,0,0,0,15,4
20,RV Uthappa,2014-2015,8,8,1,148,50,21.14,176,84.09,0,1,1,13,3
21,KM Jadhav,2014-2015,4,4,1,146,105*,48.66,137,106.56,1,0,0,17,1
22,M Vijay,2013-2015,6,5,0,143,72,28.60,189,75.66,0,1,0,10,2
23,R Dravid,2011-2011,5,5,0,124,69,24.80,160,77.50,0,1,0,9,0
24,Mohammed Shami,2013-2015,47,21,11,109,25,10.90,125,87.20,0,0,4,7,6
25,R Vinay Kumar,2011-2013,28,12,4,84,27*,10.50,138,60.86,0,0,2,5,2
26,MK Pandey,2015-2015,1,1,0,71,71,71.00,86,82.55,0,1,0,4,1
27,AR Patel,2014-2015,18,11,4,54,17*,7.71,45,120.00,0,0,3,4,3
28,CA Pujara,2013-2014,5,5,0,51,27,10.20,130,39.23,0,0,2,4,0
29,UT Yadav,2011-2015,47,15,10,43,17,8.60,77,55.84,0,0,2,6,1
30,WP Saha,2014-2014,6,4,2,37,16,18.50,51,72.54,0,0,0,5,0
31,P Kumar,2011-2012,16,7,4,36,16,12.00,39,92.30,0,0,0,3,1
32,MM Sharma,2013-2015,22,7,3,31,11,7.75,61,50.81,0,0,1,5,0
33,I Sharma,2012-2015,29,11,7,25,7*,6.25,62,40.32,0,0,0,2,0
34,A Mithun,2011-2011,3,1,0,23,23,23.00,16,143.75,0,0,0,2,2
35,A Mishra,2013-2014,12,4,1,19,9,6.33,37,51.35,0,0,0,2,0
36,Z Khan,2012-2012,9,2,0,11,9,5.50,15,73.33,0,0,0,2,0
37,VR Aaron,2011-2014,9,3,2,8,6*,8.00,15,53.33,0,0,1,1,0
38,Harbhajan Singh,2015-2015,3,1,1,5,5*,-,4,125.00,0,0,0,0,0
39,PP Ojha,2012-2012,2,1,0,5,5,5.00,18,27.77,0,0,0,0,0
40,AB Dinda,2012-2013,8,2,0,3,3,1.50,6,50.00,0,0,1,0,0
41,DS Kulkarni,2014-2015,8,1,1,2,2*,-,2,100.00,0,0,0,0,0
42,R Sharma,2011-2012,4,1,0,1,1,1.00,2,50.00,0,0,0,0,0
43,Parvez Rasool,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
44,MM Patel,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,-
45,YK Pathan,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
46,KV Sharma,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
47,RP Singh,2011-2011,3,-,-,-,-,-,-,-,-,-,-,-,-
48,JD Unadkat,2013-2013,7,-,-,-,-,-,-,-,-,-,-,-,-
